query_gene	target_gene
cluster_11068	LOC145295905
cluster_11071	LOC145284917
cluster_11079	LOC145249761
cluster_11083	LOC145242013
cluster_11086	LOC145242505
cluster_11094	LOC145265295
cluster_11119	LOC145259824
cluster_11144	LOC145256406
cluster_11155	LOC145263830
cluster_11161	LOC145243767
cluster_11164	LOC145294009
cluster_11170	LOC145293525
cluster_11189	LOC145260649
cluster_11190	LOC145256395
cluster_11210	LOC145242526
cluster_11227	LOC145249505
cluster_11230	LOC145286134
cluster_11242	LOC145256288
cluster_1126	LOC145296853
cluster_11294	LOC145259721
cluster_11303	LOC145280139
cluster_11315	LOC145248058
cluster_11318	LOC145266927
cluster_1132	LOC145249508
cluster_11321	LOC145248202
cluster_11332	LOC145259186
cluster_11335	LOC145265520
cluster_11342	LOC145288100
cluster_11380	LOC145261136
cluster_11395	LOC145242031
cluster_11402	LOC145241487
cluster_11436	LOC145265752
cluster_1144	LOC145262702
cluster_11441	LOC145265482
cluster_11457	LOC145258128
cluster_11464	LOC145256236
cluster_11465	LOC145242901
cluster_11480	LOC145287859
cluster_11483	LOC145241476
cluster_1149	LOC145283784
cluster_11498	LOC145280137
cluster_11504	LOC145265373
cluster_11512	LOC145260423
cluster_11531	LOC145279606
cluster_11568	LOC145269482
cluster_11576	LOC145298448
cluster_11600	LOC145293281
cluster_1162	LOC145291476
cluster_11630	LOC145242041
cluster_11635	LOC145241479
cluster_1165	LOC145254900
cluster_1167	LOC145259823
cluster_11690	LOC145246838
cluster_11699	LOC145276853
cluster_11732	LOC145302100
cluster_11737	LOC145293525
cluster_11753	LOC145285791
cluster_1177	LOC145269278
cluster_11797	LOC145268766
cluster_11825	LOC145271086
cluster_11836	LOC145254510
cluster_11850	LOC145256217
cluster_11863	LOC145293128
cluster_11914	LOC145286296
cluster_11917	LOC145241466
cluster_1194	LOC145269378
cluster_11950	LOC145242935
cluster_11955	LOC145263635
cluster_1197	LOC145243872
cluster_1198	LOC145292073
cluster_11982	LOC145293941
cluster_11986	LOC145289608
cluster_11995	LOC145285999
cluster_1202	LOC145293355
cluster_12060	LOC145271045
cluster_12072	LOC145266567
cluster_12078	LOC145249025
cluster_12080	LOC145259094
cluster_12175	LOC145296533
cluster_12177	LOC145246578
cluster_12187	LOC145267552
cluster_12188	LOC145279978
cluster_122	LOC145296169
cluster_12229	LOC145276862
cluster_12230	LOC145285835
cluster_12235	LOC145248929
cluster_12244	LOC145258128
cluster_12256	LOC145241974
cluster_12257	LOC145249710
cluster_12271	LOC145296804
cluster_12280	LOC145265640
cluster_12298	LOC145243706
cluster_12311	LOC145249582
cluster_12354	LOC145256373
cluster_12391	LOC145293212
cluster_12392	LOC145256265
cluster_1240	LOC145269526
cluster_12416	LOC145301647
cluster_12440	LOC145266594
cluster_12460	LOC145245877
cluster_12461	LOC145285897
cluster_12468	LOC145293154
cluster_12490	LOC145279947
cluster_12526	LOC145259686
cluster_12527	LOC145258196
cluster_12534	LOC145291294
cluster_12542	LOC145296899
cluster_12554	LOC145265598
cluster_12566	LOC145271176
cluster_12574	LOC145296769
cluster_12589	LOC145263606
cluster_12594	LOC145278348
cluster_126	LOC145243887
cluster_12604	LOC145277660
cluster_12661	LOC145260423
cluster_12672	LOC145263126
cluster_12684	LOC145296910
cluster_12743	LOC145291938
cluster_12753	LOC145259603
cluster_12763	LOC145258015
cluster_12769	LOC145245877
cluster_1280	LOC145268793
cluster_12819	LOC145256511
cluster_1283	LOC145279588
cluster_12865	LOC145267175
cluster_1288	LOC145294146
cluster_12880	LOC145292927
cluster_12890	LOC145268671
cluster_12895	LOC145255687
cluster_12900	LOC145256275
cluster_1291	LOC145247493
cluster_12942	LOC145266350
cluster_12953	LOC145283526
cluster_12961	LOC145263835
cluster_12972	LOC145293306
cluster_12992	LOC145240166
cluster_13046	LOC145280148
cluster_13070	LOC145249765
cluster_13076	LOC145283917
cluster_13086	LOC145252449
cluster_13103	LOC145243058
cluster_13118	LOC145286169
cluster_13126	LOC145268355
cluster_13140	LOC145268652
cluster_13145	LOC145240174
cluster_13149	LOC145248214
cluster_13168	LOC145248854
cluster_13183	LOC145263046
cluster_13193	LOC145252506
cluster_13198	LOC145294122
cluster_13227	LOC145298416
cluster_13249	LOC145295833
cluster_13255	LOC145242534
cluster_13266	LOC145291917
cluster_13277	LOC145242595
cluster_13280	LOC145277673
cluster_13290	LOC145271376
cluster_13292	LOC145267163
cluster_1331	LOC145248262
cluster_13324	LOC145279251
cluster_13334	LOC145242857
cluster_1334	LOC145297012
cluster_13351	LOC145246769
cluster_13354	LOC145283662
cluster_13360	LOC145279992
cluster_13366	LOC145296142
cluster_13374	LOC145258282
cluster_1339	LOC145243684
cluster_13423	LOC145284423
cluster_13458	LOC145246170
cluster_13462	LOC145265576
cluster_13480	LOC145287880
cluster_13487	LOC145242656
cluster_13498	LOC145292906
cluster_1351	LOC145263700
cluster_13519	LOC145245845
cluster_13537	LOC145266560
cluster_13550	LOC145263142
cluster_13552	LOC145296052
cluster_1357	LOC145259053
cluster_13572	LOC145294082
cluster_13573	LOC145278388
cluster_13577	LOC145256443
cluster_13620	LOC145243990
cluster_13637	LOC145246136
cluster_13652	LOC145243479
cluster_13667	LOC145245829
cluster_13679	LOC145248082
cluster_1371	LOC145291299
cluster_13718	LOC145292897
cluster_13731	LOC145248902
cluster_13737	LOC145296655
cluster_13757	LOC145276996
cluster_13762	LOC145248219
cluster_13831	LOC145245886
cluster_13833	LOC145249617
cluster_1385	LOC145243067
cluster_13851	LOC145299501
cluster_13853	LOC145241567
cluster_13877	LOC145266525
cluster_13884	LOC145242904
cluster_13900	LOC145260444
cluster_13904	LOC145258092
cluster_13910	LOC145259793
cluster_13921	LOC145242852
cluster_14002	LOC145293111
cluster_14024	LOC145257980
cluster_14027	LOC145286163
cluster_14030	LOC145252445
cluster_14045	LOC145294122
cluster_14056	LOC145252859
cluster_14063	LOC145291974
cluster_14073	LOC145277578
cluster_14083	LOC145277552
cluster_14094	LOC145259707
cluster_14099	LOC145285931
cluster_14137	LOC145286207
cluster_14140	LOC145269597
cluster_14141	LOC145286018
cluster_14142	LOC145267005
cluster_14145	LOC145266326
cluster_14149	LOC145288034
cluster_14166	LOC145263157
cluster_14167	LOC145267137
cluster_14194	LOC145283491
cluster_14204	LOC145243895
cluster_14205	LOC145252507
cluster_14228	LOC145283954
cluster_14246	LOC145246658
cluster_1425	LOC145295989
cluster_14278	LOC145303443
cluster_14294	LOC145242191
cluster_14308	LOC145245831
cluster_14312	LOC145241983
cluster_14335	LOC145261068
cluster_14353	LOC145248235
cluster_14365	LOC145254925
cluster_14367	LOC145245919
cluster_14371	LOC145294041
cluster_14373	LOC145268671
cluster_14394	LOC145243401
cluster_14398	LOC145293051
cluster_14430	LOC145242852
cluster_14441	LOC145246817
cluster_14461	LOC145263069
cluster_14462	LOC145249011
cluster_14500	LOC145242755
cluster_14501	LOC145258207
cluster_14523	LOC145268799
cluster_14524	LOC145252586
cluster_14528	LOC145242769
cluster_14546	LOC145276491
cluster_14563	LOC145242401
cluster_14566	LOC145249018
cluster_1459	LOC145252795
cluster_14591	LOC145242573
cluster_14592	LOC145242892
cluster_14595	LOC145243957
cluster_1460	LOC145252719
cluster_14602	LOC145266582
cluster_14605	LOC145277023
cluster_14610	LOC145293881
cluster_14688	LOC145247826
cluster_14693	LOC145290110
cluster_14699	LOC145243554
cluster_14728	LOC145255751
cluster_14738	LOC145260551
cluster_14749	LOC145254634
cluster_14759	LOC145268676
cluster_1480	LOC145277462
cluster_14837	LOC145296748
cluster_1490	LOC145293061
cluster_14907	LOC145283741
cluster_14914	LOC145256368
cluster_14927	LOC145283472
cluster_14928	LOC145269584
cluster_14957	LOC145245711
cluster_14961	LOC145268940
cluster_14981	LOC145267070
cluster_14983	LOC145270828
cluster_15014	LOC145260401
cluster_15048	LOC145283485
cluster_15053	LOC145301352
cluster_15082	LOC145294030
cluster_15146	LOC145246496
cluster_15151	LOC145256111
cluster_15162	LOC145263081
cluster_15189	LOC145284447
cluster_15205	LOC145253104
cluster_15265	LOC145258276
cluster_15268	LOC145245834
cluster_1530	LOC145283845
cluster_15306	LOC145246658
cluster_15307	LOC145249035
cluster_15335	LOC145287841
cluster_1534	LOC145259145
cluster_15340	LOC145271325
cluster_15359	LOC145303519
cluster_15370	LOC145268827
cluster_15375	LOC145274378
cluster_15380	LOC145246102
cluster_15388	LOC145256286
cluster_15409	LOC145285820
cluster_15413	LOC145243470
cluster_15470	LOC145278281
cluster_15487	LOC145268173
cluster_15492	LOC145252582
cluster_15497	LOC145269505
cluster_155	LOC145284981
cluster_15512	LOC145292229
cluster_15523	LOC145241340
cluster_15536	LOC145260564
cluster_15537	LOC145277630
cluster_15539	LOC145280155
cluster_15556	LOC145263168
cluster_15569	LOC145242075
cluster_15574	LOC145254833
cluster_15587	LOC145269653
cluster_15590	LOC145291948
cluster_15623	LOC145286248
cluster_15633	LOC145296751
cluster_15644	LOC145270169
cluster_15645	LOC145270567
cluster_1565	LOC145249427
cluster_15692	LOC145296144
cluster_15704	LOC145263181
cluster_15714	LOC145288114
cluster_15722	LOC145242983
cluster_15734	LOC145249728
cluster_15746	LOC145267052
cluster_15764	LOC145260561
cluster_15790	LOC145259893
cluster_158	LOC145277572
cluster_1581	LOC145266398
cluster_15811	LOC145279924
cluster_15814	LOC145284513
cluster_15828	LOC145265394
cluster_15830	LOC145242848
cluster_15850	LOC145243067
cluster_15886	LOC145256123
cluster_15927	LOC145263096
cluster_15966	LOC145242927
cluster_1599	LOC145258085
cluster_16003	LOC145256185
cluster_16004	LOC145241286
cluster_16033	LOC145255797
cluster_16046	LOC145286061
cluster_16052	LOC145291944
cluster_16091	LOC145277697
cluster_16104	LOC145268159
cluster_16132	LOC145242500
cluster_16154	LOC145252699
cluster_16165	LOC145284502
cluster_16171	LOC145242508
cluster_16183	LOC145246034
cluster_16218	LOC145242954
cluster_1624	LOC145267011
cluster_16266	LOC145259727
cluster_16296	LOC145258128
cluster_16314	LOC145239939
cluster_16321	LOC145276774
cluster_1633	LOC145256185
cluster_16333	LOC145254839
cluster_16357	LOC145280158
cluster_16359	LOC145258331
cluster_16363	LOC145242104
cluster_16388	LOC145302624
cluster_16395	LOC145242509
cluster_16413	LOC145269512
cluster_16428	LOC145252572
cluster_16461	LOC145301055
cluster_16502	LOC145268320
cluster_16503	LOC145268321
cluster_16506	LOC145266922
cluster_16508	LOC145276871
cluster_16509	LOC145245823
cluster_16511	LOC145245824
cluster_16513	LOC145245825
cluster_16516	LOC145245836
cluster_1652	LOC145241342
cluster_16522	LOC145265664
cluster_16523	LOC145265553
cluster_16527	LOC145297618
cluster_16531	LOC145261114
cluster_16532	LOC145252368
cluster_16535	LOC145258361
cluster_16538	LOC145259882
cluster_16539	LOC145259882
cluster_16541	LOC145261062
cluster_16553	LOC145276659
cluster_16555	LOC145283613
cluster_16562	LOC145290299
cluster_16563	LOC145241488
cluster_16564	LOC145241488
cluster_16569	LOC145269840
cluster_16571	LOC145298489
cluster_16573	LOC145298432
cluster_16574	LOC145298432
cluster_16579	LOC145263266
cluster_16582	LOC145243685
cluster_16583	LOC145243772
cluster_16592	LOC145259073
cluster_16595	LOC145258337
cluster_16596	LOC145259262
cluster_16618	LOC145276888
cluster_1662	LOC145302185
cluster_16623	LOC145296042
cluster_16625	LOC145284606
cluster_16628	LOC145288228
cluster_16637	LOC145286152
cluster_16644	LOC145279932
cluster_16645	LOC145268768
cluster_16646	LOC145259261
cluster_16651	LOC145240074
cluster_16658	LOC145283977
cluster_16664	LOC145260663
cluster_16668	LOC145260670
cluster_16670	LOC145241167
cluster_16675	LOC145287757
cluster_16691	LOC145269225
cluster_16692	LOC145269225
cluster_16694	LOC145286315
cluster_16705	LOC145259201
cluster_16708	LOC145276864
cluster_16715	LOC145260584
cluster_16720	LOC145255513
cluster_16724	LOC145284564
cluster_16726	LOC145284566
cluster_16728	LOC145284444
cluster_16737	LOC145284551
cluster_16739	LOC145284558
cluster_16756	LOC145262156
cluster_16761	LOC145258170
cluster_16763	LOC145260569
cluster_16770	LOC145276611
cluster_16772	LOC145276610
cluster_16773	LOC145276925
cluster_16782	LOC145276912
cluster_16783	LOC145276913
cluster_16784	LOC145276912
cluster_16786	LOC145276902
cluster_16791	LOC145276895
cluster_16801	LOC145291042
cluster_16802	LOC145291285
cluster_16804	LOC145291041
cluster_16810	LOC145263300
cluster_16812	LOC145256383
cluster_16814	LOC145256446
cluster_16820	LOC145265647
cluster_16826	LOC145256396
cluster_16827	LOC145293915
cluster_16837	LOC145255678
cluster_16840	LOC145268988
cluster_16860	LOC145255596
cluster_16865	LOC145283528
cluster_16869	LOC145243562
cluster_16870	LOC145243562
cluster_16873	LOC145249046
cluster_16874	LOC145248761
cluster_16886	LOC145271203
cluster_16887	LOC145286450
cluster_16891	LOC145267050
cluster_16894	LOC145267042
cluster_16898	LOC145280252
cluster_1690	LOC145258322
cluster_16905	LOC145292770
cluster_16913	LOC145259852
cluster_16914	LOC145259850
cluster_16915	LOC145259847
cluster_16917	LOC145260373
cluster_16919	LOC145287834
cluster_16923	LOC145269201
cluster_16926	LOC145276640
cluster_1693	LOC145265489
cluster_16931	LOC145276996
cluster_16932	LOC145276620
cluster_16933	LOC145276619
cluster_16946	LOC145302281
cluster_16948	LOC145260196
cluster_16949	LOC145260346
cluster_16953	LOC145265613
cluster_16954	LOC145265613
cluster_16958	LOC145265633
cluster_16962	LOC145265643
cluster_16967	LOC145291128
cluster_16969	LOC145291130
cluster_16972	LOC145291573
cluster_16975	LOC145259083
cluster_16981	LOC145296047
cluster_16982	LOC145296047
cluster_16983	LOC145296047
cluster_16998	LOC145260199
cluster_16999	LOC145291326
cluster_17000	LOC145247348
cluster_17001	LOC145247348
cluster_17004	LOC145247253
cluster_17010	LOC145294095
cluster_17026	LOC145284558
cluster_17028	LOC145277696
cluster_17029	LOC145277695
cluster_17032	LOC145265597
cluster_17035	LOC145265415
cluster_17040	LOC145296047
cluster_17045	LOC145268053
cluster_17049	LOC145248253
cluster_17056	LOC145283595
cluster_17057	LOC145283595
cluster_17058	LOC145283595
cluster_17061	LOC145283595
cluster_17062	LOC145283595
cluster_17063	LOC145283595
cluster_17064	LOC145283595
cluster_17081	LOC145239862
cluster_17083	LOC145247897
cluster_17085	LOC145296029
cluster_17102	LOC145286081
cluster_17103	LOC145286080
cluster_17112	LOC145293773
cluster_17115	LOC145293778
cluster_17117	LOC145293785
cluster_17127	LOC145266918
cluster_17132	LOC145259046
cluster_17134	LOC145268263
cluster_17135	LOC145297042
cluster_17137	LOC145256384
cluster_1714	LOC145276836
cluster_17143	LOC145269287
cluster_17144	LOC145269292
cluster_17145	LOC145268660
cluster_17148	LOC145256070
cluster_17152	LOC145277901
cluster_17153	LOC145278238
cluster_17156	LOC145277907
cluster_17163	LOC145277909
cluster_17169	LOC145297739
cluster_1718	LOC145267047
cluster_17180	LOC145278342
cluster_17182	LOC145248230
cluster_17183	LOC145278275
cluster_17188	LOC145297782
cluster_17189	LOC145248224
cluster_17190	LOC145287841
cluster_17191	LOC145287841
cluster_17192	LOC145287841
cluster_17198	LOC145247554
cluster_17205	LOC145247268
cluster_17207	LOC145247921
cluster_17212	LOC145247915
cluster_17217	LOC145247910
cluster_17219	LOC145247907
cluster_17222	LOC145255248
cluster_17223	LOC145248222
cluster_17232	LOC145261065
cluster_17233	LOC145263304
cluster_17234	LOC145261069
cluster_17235	LOC145255513
cluster_17238	LOC145301631
cluster_17248	LOC145271211
cluster_17255	LOC145263882
cluster_17261	LOC145287782
cluster_17271	LOC145241684
cluster_17275	LOC145241333
cluster_17287	LOC145263096
cluster_17291	LOC145284732
cluster_17293	LOC145297210
cluster_17294	LOC145277092
cluster_17305	LOC145260338
cluster_17307	LOC145252799
cluster_17319	LOC145284731
cluster_17323	LOC145296677
cluster_17327	LOC145269551
cluster_17333	LOC145273803
cluster_17336	LOC145270910
cluster_17337	LOC145276871
cluster_17339	LOC145280174
cluster_17340	LOC145260553
cluster_17348	LOC145267037
cluster_17356	LOC145277825
cluster_17357	LOC145277825
cluster_17360	LOC145277825
cluster_17365	LOC145247375
cluster_17373	LOC145279890
cluster_17374	LOC145269719
cluster_17377	LOC145269726
cluster_17378	LOC145269726
cluster_17379	LOC145269722
cluster_17391	LOC145279786
cluster_17392	LOC145279793
cluster_17394	LOC145279794
cluster_17398	LOC145279805
cluster_17401	LOC145249080
cluster_17406	LOC145279811
cluster_17419	LOC145240311
cluster_17421	LOC145286132
cluster_17426	LOC145276815
cluster_17434	LOC145266321
cluster_17436	LOC145266319
cluster_17437	LOC145266317
cluster_17442	LOC145284722
cluster_17443	LOC145253658
cluster_17447	LOC145246782
cluster_17448	LOC145246782
cluster_17449	LOC145246782
cluster_17452	LOC145263096
cluster_17453	LOC145280727
cluster_17459	LOC145277050
cluster_17474	LOC145253015
cluster_17478	LOC145268614
cluster_17479	LOC145263237
cluster_17480	LOC145263248
cluster_17481	LOC145263248
cluster_17488	LOC145286536
cluster_17490	LOC145286241
cluster_17492	LOC145271128
cluster_17495	LOC145296974
cluster_17498	LOC145296976
cluster_17515	LOC145269846
cluster_17517	LOC145269663
cluster_17521	LOC145285923
cluster_17526	LOC145239866
cluster_17534	LOC145293076
cluster_17543	LOC145296079
cluster_17554	LOC145296156
cluster_17565	LOC145258064
cluster_17568	LOC145261102
cluster_17569	LOC145269352
cluster_17571	LOC145281942
cluster_17578	LOC145293081
cluster_17583	LOC145277944
cluster_17589	LOC145277711
cluster_17597	LOC145258148
cluster_17598	LOC145293081
cluster_17599	LOC145258141
cluster_17603	LOC145258141
cluster_17604	LOC145258140
cluster_17619	LOC145260645
cluster_17626	LOC145303543
cluster_17628	LOC145265362
cluster_17635	LOC145283964
cluster_17636	LOC145283965
cluster_17647	LOC145259090
cluster_17648	LOC145259087
cluster_17651	LOC145259084
cluster_17655	LOC145266357
cluster_17656	LOC145297790
cluster_17657	LOC145303541
cluster_17659	LOC145265359
cluster_17665	LOC145293082
cluster_17672	LOC145291136
cluster_17673	LOC145291136
cluster_17677	LOC145269135
cluster_17678	LOC145242034
cluster_17683	LOC145242014
cluster_17685	LOC145284719
cluster_17687	LOC145284719
cluster_17688	LOC145271067
cluster_17694	LOC145241431
cluster_17699	LOC145293083
cluster_17705	LOC145268795
cluster_17711	LOC145293084
cluster_17713	LOC145241472
cluster_17726	LOC145259626
cluster_17727	LOC145288846
cluster_17734	LOC145288655
cluster_17746	LOC145265308
cluster_17751	LOC145292963
cluster_17753	LOC145292963
cluster_17755	LOC145296005
cluster_17760	LOC145292717
cluster_17761	LOC145292948
cluster_17762	LOC145296004
cluster_17765	LOC145266366
cluster_17767	LOC145266366
cluster_17768	LOC145266366
cluster_17771	LOC145293153
cluster_17772	LOC145247275
cluster_17774	LOC145242832
cluster_17783	LOC145294081
cluster_17784	LOC145294090
cluster_17785	LOC145294086
cluster_17800	LOC145284530
cluster_17802	LOC145263145
cluster_17806	LOC145302624
cluster_17811	LOC145296660
cluster_17812	LOC145296658
cluster_17815	LOC145296651
cluster_17822	LOC145248131
cluster_17829	LOC145242415
cluster_1784	LOC145269743
cluster_17843	LOC145239758
cluster_17847	LOC145259973
cluster_1785	LOC145271338
cluster_17850	LOC145259984
cluster_17857	LOC145283543
cluster_17858	LOC145283543
cluster_17859	LOC145283543
cluster_17864	LOC145259969
cluster_17865	LOC145263628
cluster_17866	LOC145263618
cluster_17868	LOC145263621
cluster_17870	LOC145242691
cluster_17877	LOC145242687
cluster_17884	LOC145242683
cluster_17888	LOC145242672
cluster_17890	LOC145242668
cluster_17893	LOC145243694
cluster_17894	LOC145243695
cluster_17897	LOC145243780
cluster_17918	LOC145292242
cluster_17921	LOC145292223
cluster_17924	LOC145292016
cluster_17937	LOC145286517
cluster_17939	LOC145286516
cluster_17944	LOC145286165
cluster_17945	LOC145286165
cluster_17947	LOC145303519
cluster_17948	LOC145303519
cluster_17949	LOC145303526
cluster_17952	LOC145252329
cluster_17954	LOC145252664
cluster_1798	LOC145277023
cluster_17991	LOC145252808
cluster_17992	LOC145252810
cluster_18005	LOC145296133
cluster_18008	LOC145297722
cluster_18010	LOC145297722
cluster_18013	LOC145297722
cluster_18020	LOC145297722
cluster_18026	LOC145252549
cluster_18028	LOC145252545
cluster_18029	LOC145252546
cluster_18030	LOC145252543
cluster_18033	LOC145247470
cluster_18037	LOC145258135
cluster_18043	LOC145291450
cluster_18057	LOC145249377
cluster_18068	LOC145249678
cluster_18074	LOC145266532
cluster_18075	LOC145266540
cluster_18076	LOC145292754
cluster_18083	LOC145252484
cluster_18088	LOC145292999
cluster_18090	LOC145285854
cluster_18091	LOC145285847
cluster_18092	LOC145286372
cluster_18093	LOC145285842
cluster_1810	LOC145280082
cluster_18105	LOC145285822
cluster_18116	LOC145291590
cluster_18127	LOC145259971
cluster_18128	LOC145259971
cluster_18133	LOC145261201
cluster_18136	LOC145293144
cluster_18138	LOC145293143
cluster_18141	LOC145265595
cluster_18151	LOC145296067
cluster_18157	LOC145239914
cluster_18159	LOC145268815
cluster_18160	LOC145268811
cluster_18161	LOC145276877
cluster_18166	LOC145277826
cluster_18172	LOC145296001
cluster_18174	LOC145276969
cluster_18179	LOC145299692
cluster_18180	LOC145299692
cluster_18187	LOC145276845
cluster_18188	LOC145247820
cluster_18190	LOC145247821
cluster_18198	LOC145268772
cluster_18203	LOC145242783
cluster_18204	LOC145242229
cluster_18205	LOC145242228
cluster_18206	LOC145242781
cluster_18209	LOC145242217
cluster_18211	LOC145242211
cluster_18212	LOC145242211
cluster_18213	LOC145242214
cluster_18214	LOC145242780
cluster_18215	LOC145242209
cluster_18219	LOC145242190
cluster_18222	LOC145242184
cluster_18227	LOC145242178
cluster_18231	LOC145242166
cluster_18246	LOC145256369
cluster_18247	LOC145252666
cluster_18250	LOC145259685
cluster_18251	LOC145259684
cluster_18252	LOC145259683
cluster_18255	LOC145259680
cluster_18257	LOC145259677
cluster_18258	LOC145259676
cluster_18259	LOC145277101
cluster_18261	LOC145267024
cluster_18275	LOC145258168
cluster_18276	LOC145266338
cluster_18285	LOC145276642
cluster_18286	LOC145261248
cluster_18287	LOC145261247
cluster_18289	LOC145285933
cluster_18290	LOC145285932
cluster_18291	LOC145276645
cluster_18293	LOC145277000
cluster_18295	LOC145276646
cluster_18297	LOC145276647
cluster_18303	LOC145259712
cluster_18308	LOC145263165
cluster_18312	LOC145277004
cluster_18318	LOC145268648
cluster_18319	LOC145268645
cluster_18320	LOC145268645
cluster_18321	LOC145268644
cluster_18324	LOC145268638
cluster_1833	LOC145265475
cluster_18334	LOC145265567
cluster_18338	LOC145269623
cluster_18341	LOC145261122
cluster_18342	LOC145261122
cluster_18346	LOC145277898
cluster_18348	LOC145277899
cluster_18351	LOC145277886
cluster_18355	LOC145277876
cluster_18357	LOC145277868
cluster_18363	LOC145289844
cluster_18364	LOC145289844
cluster_18366	LOC145241428
cluster_18372	LOC145289970
cluster_18373	LOC145290039
cluster_18374	LOC145290039
cluster_18375	LOC145290055
cluster_18376	LOC145277017
cluster_18397	LOC145293753
cluster_18400	LOC145263605
cluster_18405	LOC145246859
cluster_18409	LOC145246857
cluster_18417	LOC145268573
cluster_18418	LOC145268573
cluster_18421	LOC145268730
cluster_18422	LOC145268737
cluster_18433	LOC145282146
cluster_18437	LOC145263223
cluster_18445	LOC145280330
cluster_18452	LOC145241463
cluster_18456	LOC145280330
cluster_1846	LOC145252804
cluster_18463	LOC145247512
cluster_18474	LOC145268234
cluster_18498	LOC145293818
cluster_1850	LOC145268791
cluster_18504	LOC145296276
cluster_18505	LOC145296276
cluster_1851	LOC145268792
cluster_18511	LOC145267090
cluster_18516	LOC145267094
cluster_18517	LOC145267094
cluster_18518	LOC145267098
cluster_18519	LOC145267215
cluster_18524	LOC145288094
cluster_18531	LOC145240272
cluster_18557	LOC145246543
cluster_18570	LOC145278097
cluster_18571	LOC145278094
cluster_18573	LOC145278093
cluster_18580	LOC145278071
cluster_18588	LOC145246553
cluster_18591	LOC145248005
cluster_18594	LOC145246569
cluster_18596	LOC145246569
cluster_18599	LOC145246571
cluster_18602	LOC145246571
cluster_18607	LOC145256437
cluster_18608	LOC145256438
cluster_1861	LOC145268720
cluster_18610	LOC145256118
cluster_18613	LOC145241458
cluster_18619	LOC145263220
cluster_18621	LOC145263218
cluster_18627	LOC145263160
cluster_18637	LOC145272273
cluster_18642	LOC145296841
cluster_18643	LOC145296841
cluster_18650	LOC145288200
cluster_18654	LOC145269061
cluster_18673	LOC145243524
cluster_18678	LOC145261191
cluster_18682	LOC145280233
cluster_18683	LOC145280233
cluster_18689	LOC145249507
cluster_18691	LOC145296863
cluster_18696	LOC145283787
cluster_18701	LOC145242919
cluster_18704	LOC145243080
cluster_18708	LOC145242748
cluster_1871	LOC145284942
cluster_18716	LOC145293140
cluster_18718	LOC145266477
cluster_18721	LOC145296730
cluster_18727	LOC145248787
cluster_18728	LOC145248787
cluster_18731	LOC145261156
cluster_18734	LOC145261195
cluster_18737	LOC145261195
cluster_18739	LOC145261199
cluster_18742	LOC145260228
cluster_18750	LOC145241584
cluster_18753	LOC145241533
cluster_18754	LOC145297038
cluster_1876	LOC145292008
